team,attack,defense
Flamengo,0.5236014292109522,0.419692792337853
Palmeiras,0.4323123387051425,0.4822730019671979
Botafogo,0.30230652921384715,0.15988480552978773
Mirassol,0.23675721241750933,0.08418775918090757
Bahia,0.22997320554125136,0.07835318272837029
Atletico-PR,0.2039910718760595,0.17318410201005524
Fluminense,0.18538798295100747,0.21065358553378796
Cruzeiro,0.18391706656963566,0.2516793615794797
Atletico-MG,0.17103219762793054,0.1782894904183724
Santos,0.16843918533222074,0.004328697374171922
Coritiba,0.1427063872185111,-0.10034812776705003
Gremio,0.132299935587998,0.024706072648679734
Vasco,0.1249270779021976,-0.07614778500872538
Internacional,0.11903784654209912,0.10932087874683476
Bragantino,0.11559521445033276,0.08682669213382485
Sao Paulo,0.09600791428235102,0.19024302238492666
Remo,0.07597545321038426,-0.1360104262276022
Corinthians,0.06312843988426782,0.19566741953472663
Chapecoense,-0.04374374657361949,-0.3130705313866299
Vitoria,-0.06333710595980947,0.030650258682263655
