atleta_id,ult5_sos,playmaking,risco_rotacao,goalShare,ds_jogo,epts_scouts
87342,-0.464,,0.0,,0.667,3.2
88479,1.794,0.0,0.2,0.0,0.75,2.85
91130,4.232,,0.0,0.0,1.5,4.324
91204,10.061,,0.0,,0.0,4.135
93637,1.807,,0.0,,1.0,4.419
97145,2.631,0.0,0.0,0.0,0.667,3.236
97450,1.176,,0.0,0.0,0.333,3.622
99267,2.446,0.0,0.0,0.0,0.4,2.76
101995,2.916,,0.0,,0.75,3.348
109461,0.769,0.0,0.0,0.0,0.0,3.037
151120,-0.399,,0.5,0.0,0.0,3.687
151292,2.977,0.0,0.0,0.0,1.5,3.415
72279,-1.914,,0.0,,0.0,3.287
89493,5.002,,0.0,,2.5,3.772
93371,-1.198,,0.0,0.0,0.0,3.644
95541,4.789,0.0,0.25,0.0,2.0,3.822
114801,4.058,,0.0,0.0,0.667,3.804
117314,1.85,,0.0,0.0,0.5,3.975
117909,4.32,,0.0,0.0357,0.5,3.968
122121,6.146,,0.0,0.125,0.0,3.925
123445,2.856,0.5,0.0,0.0,1.0,3.076
127871,6.907,,0.333,0.037,0.0,4.001
130121,1.11,,0.0,0.0,0.0,3.323
130307,5.9,,0.0,,0.0,3.109
130806,1.117,,0.0,,0.333,3.262
141160,2.478,0.0,0.333,0.0,1.0,3.43
141382,1.9,,0.5,0.0,0.0,3.809
141536,1.111,0.0,0.0,0.0,0.333,2.822
142764,1.76,,0.0,0.0,0.333,3.813
151404,1.524,,0.0,0.0,0.0,3.788
91626,-0.373,,0.0,,0.0,4.335
99034,2.524,,0.0,,2.0,4.627
100596,3.732,0.0,0.0,0.0,1.5,3.269
102255,3.52,0.0,0.0,0.0,2.5,3.435
104649,6.375,,0.0,,2.5,4.753
106313,3.423,,0.0,,1.5,3.509
114323,6.38,,0.0,0.0455,0.0,4.116
123795,10.495,,0.0,0.0,0.0,3.693
124483,-0.54,,0.0,,0.0,3.273
124961,0.378,0.0,0.0,0.0,0.5,2.846
140542,-0.274,,0.0,0.0,0.0,3.687
142868,,,1.0,,,
144976,1.614,0.0,0.0,0.0,1.0,3.135
73476,5.603,,0.0,,0.0,
86864,4.808,,0.0,,2.5,4.574
87747,9.12,0.5,0.0,0.0,4.0,4.259
101237,,,1.0,0.0,,
106843,3.0,0.0,0.0,0.0,2.0,3.311
127932,-0.2,,0.0,,0.0,4.335
141131,6.2,,0.0,,1.0,3.53
77510,-0.1,0.0,0.0,0.0,0.0,3.162
86777,,,1.0,0.0,,
98333,0.9,,0.0,,0.0,3.768
