atleta_id,ult5_sos,playmaking,risco_rotacao,goalShare,ds_jogo,epts_scouts
133543,2.566,,0.2,0.0,1.25,3.84
137542,2.179,,0.4,0.0357,0.143,3.224
141406,1.643,,0.0,0.0,0.0,3.809
141451,4.757,0.143,0.0,0.093,1.81,4.805
141611,4.772,,0.2,,2.0,4.64
141754,4.237,0.133,0.0,0.0,1.933,4.254
141868,2.912,,0.0,,1.75,4.368
142004,3.346,,0.0,0.05,0.7,3.903
142265,0.906,,0.0,0.0,0.5,3.439
142279,1.316,0.062,0.2,0.0455,0.688,2.68
142484,3.065,0.0,0.0,0.0303,0.556,2.849
142867,2.002,,0.75,0.0,1.0,4.012
142890,2.727,0.167,0.0,0.0,0.5,2.802
143193,11.035,,0.0,0.5185,0.143,5.625
143488,0.453,,0.0,0.0,0.0,3.789
145036,,,1.0,0.0,,
145404,5.115,,0.0,,1.267,4.453
145744,9.536,0.133,0.2,0.12,1.333,3.681
147883,5.203,,0.5,0.0,4.0,4.974
37656,4.088,,0.0,,0.0,4.357
39148,6.983,,0.0,0.1111,0.412,4.523
39656,0.818,0.062,0.0,0.0,1.5,3.02
39850,4.508,,0.2,,0.0,
40990,3.86,,0.2,,0.0,
42135,1.649,0.0,0.2,0.0,0.333,2.74
42222,0.721,,0.5,0.0,0.0,3.751
42234,1.451,,0.0,,0.0,3.345
42500,7.243,,0.0,,1.5,4.277
51413,3.653,,0.0,,0.0,3.546
51772,2.357,0.25,0.0,0.0,1.375,4.066
61987,1.438,,0.0,,1.067,4.221
62977,1.911,0.0,0.2,0.0,1.0,2.832
63013,1.793,,0.25,,0.667,4.245
63289,5.502,0.167,0.6,0.0909,0.5,2.776
68685,2.247,0.0,0.0,0.1429,0.882,3.583
68708,4.043,0.0,0.0,0.1667,0.667,2.89
68920,2.814,,0.4,0.0714,0.2,3.621
68928,2.867,,0.0,,0.0,3.631
68938,9.452,0.286,0.0,0.0625,0.786,3.299
68996,2.017,,0.4,0.1,0.188,3.164
69012,4.473,,0.0,,0.0,4.169
69140,2.049,0.0,0.0,0.0,1.455,3.016
69208,2.53,,0.0,,1.056,3.636
70164,2.106,0.143,0.2,0.04,0.0,2.602
70360,0.231,,0.2,0.0,0.375,3.132
70449,0.144,,0.0,,0.0,3.261
70666,1.821,,0.0,,1.19,3.335
70944,0.898,0.05,0.0,0.0,0.75,2.475
71043,3.162,,0.0,,0.0,4.647
71123,2.748,0.053,0.0,0.1818,0.842,3.647
71227,1.333,,0.2,,0.583,3.257
71631,3.811,,0.0,,0.0,3.695
71684,3.929,,0.0,,0.9,3.383
72294,6.206,,0.0,,0.0,4.232
72391,5.936,,0.0,,0.0,
72460,4.886,0.2,0.2,0.0714,0.933,3.279
72493,7.395,,0.0,,1.0,4.131
73384,2.718,,0.0,,1.4,4.628
77485,3.586,0.059,0.0,0.0,1.118,2.539
77656,1.108,,0.2,,0.833,3.98
77777,3.577,0.0,0.0,0.0,1.417,2.874
78117,2.33,,0.2,0.1333,0.769,4.29
78248,3.85,,0.0,,0.842,3.396
78435,3.469,,0.0,0.0,0.714,3.704
78445,5.052,,0.0,,2.562,5.447
78605,2.392,0.0,0.0,0.08,1.353,3.182
78850,6.6,,0.0,,0.562,3.798
78855,5.065,,0.0,,1.4,3.762
79701,0.065,0.0,0.0,0.0,0.636,2.177
80129,6.222,0.059,0.0,0.0,2.353,4.113
80196,2.375,0.056,0.2,0.0769,0.667,2.912
80287,3.682,,0.0,0.24,0.632,4.525
80313,5.973,,0.0,,1.667,4.585
82628,7.551,,0.4,,1.538,4.619
82730,5.843,,0.0,,0.0,4.017
83433,6.698,0.0,0.2,0.0,1.9,3.887
83528,5.008,,0.0,,0.611,3.352
84339,3.724,,0.0,,0.9,4.15
84558,5.038,0.176,0.0,0.0357,1.765,4.046
84626,8.339,0.409,0.0,0.0345,0.455,3.4
84735,3.157,0.071,0.2,0.0476,2.0,4.306
84816,1.993,,0.0,,1.176,4.434
84847,4.709,,0.0,,0.938,3.393
85048,4.161,,0.0,0.04,0.25,3.421
85403,1.567,0.05,0.0,0.04,0.75,2.929
85626,5.196,,0.0,,2.0,3.611
86292,3.645,,0.0,0.0625,0.25,3.152
86757,0.758,,0.0,0.0,0.444,3.336
87008,1.869,,0.0,,0.045,3.281
87225,4.198,,0.0,,0.8,3.534
87742,1.291,0.0,0.0,0.0,1.0,2.747
87863,4.178,0.2,0.0,0.0714,0.533,3.438
87999,3.859,0.111,0.0,0.0357,0.333,2.864
88037,4.416,,0.2,,0.0,
89256,3.542,0.091,0.0,0.0,1.591,4.102
89273,0.634,,0.0,,0.6,3.958
89274,4.715,0.476,0.2,0.0233,1.048,4.001
89837,1.328,0.235,0.0,0.0833,1.118,3.812
89840,4.111,,0.0,0.28,0.667,4.668
89883,-0.259,0.0,0.2,0.0,0.333,2.2
90031,1.152,,0.0,0.1852,0.727,4.021
90285,3.446,,0.0,0.0238,0.533,3.264
90302,6.204,,0.0,0.2069,0.304,3.799
90370,2.949,0.0,0.2,0.0,0.692,2.341
90588,3.692,0.0,0.0,0.0,1.529,3.273
90703,3.929,0.056,0.0,0.0952,0.667,3.585
90768,1.609,,0.0,,0.85,3.094
91101,9.483,,0.0,,0.071,4.557
91473,4.851,0.0,0.2,0.0238,1.75,3.408
91573,4.146,,0.0,,2.111,3.961
91706,3.644,,0.0,,1.667,4.851
91772,6.751,,0.0,,1.267,3.516
91908,6.24,,0.0,0.05,1.895,4.473
92171,3.793,,0.0,0.2121,0.765,4.766
92180,4.499,,0.0,,0.0,
92273,6.187,,0.0,,0.0,
92696,1.401,,0.0,0.1429,0.5,3.521
92981,1.107,0.0,0.2,0.0476,1.125,2.938
93478,4.676,,0.2,0.0714,0.571,3.431
93790,1.903,0.045,0.0,0.0465,1.273,2.91
93882,0.657,,0.0,,0.0,3.442
93988,3.763,,0.0,0.2759,0.571,4.473
94067,2.466,0.077,0.0,0.0,1.385,3.245
94154,1.189,0.0,0.0,0.0714,0.786,2.644
94583,7.236,,0.0,0.3571,0.714,5.706
94968,6.256,,0.0,,2.1,5.64
95332,5.842,,0.0,0.1875,0.857,3.871
95466,4.642,,0.0,,3.0,5.779
95556,8.836,0.0,0.0,0.08,2.0,4.239
95799,4.346,,0.2,0.12,0.824,4.524
96591,9.486,,0.0,,1.25,4.997
96610,9.887,0.095,0.0,0.2143,1.0,5.135
96793,4.58,,0.0,,1.143,3.67
97095,1.467,,0.0,,0.667,3.021
97321,2.941,,0.0,0.0,1.474,4.474
97341,6.694,,0.0,,0.0,
97432,0.856,,0.0,,1.222,3.192
97460,5.508,,0.2,,1.167,3.232
97468,2.05,,0.2,,0.667,3.975
97642,5.729,,0.2,,1.429,3.69
97653,3.394,,0.0,,1.0,3.37
97795,5.548,,0.0,,1.158,4.87
97810,2.744,,0.0,0.0952,0.222,3.779
97867,2.464,,0.0,,0.812,3.585
97878,6.67,,0.0,,1.762,4.06
98022,2.814,0.0,0.0,0.0667,1.625,3.656
98224,1.801,0.0,0.2,0.0,0.667,2.877
98225,4.907,,0.4,0.04,0.429,3.47
98384,3.65,,0.0,0.0556,1.875,5.207
98517,5.3,0.15,0.0,0.1,1.9,4.348
98672,1.201,0.118,0.0,0.0833,0.412,3.303
98873,7.572,,0.0,0.1429,1.455,5.519
98909,6.605,,0.0,0.1429,1.6,5.436
99213,3.898,,0.0,,0.857,4.099
99274,3.678,,0.0,,2.2,3.819
99366,4.782,,0.2,,0.0,
99440,3.678,0.133,0.0,0.0952,2.067,4.367
99552,2.71,,0.0,,0.0,4.435
100848,2.195,,0.0,,0.917,4.082
101715,1.967,,0.2,0.1429,0.444,3.725
102909,1.752,0.0,0.4,0.0,1.25,2.956
102975,6.376,,0.0,,3.0,5.813
103295,1.629,0.0,0.2,0.0,0.462,2.051
105300,5.068,,0.0,,1.556,3.463
106302,3.639,,0.0,,1.4,4.628
106323,0.918,0.0,0.0,0.0,0.615,2.367
108131,2.767,,0.0,0.0,0.556,3.551
108133,2.171,,0.0,0.2,0.095,3.512
108469,5.417,,0.0,,1.286,3.472
109966,1.196,0.0,0.0,0.0,0.143,2.449
110598,0.426,,0.0,0.0,0.5,3.44
111760,-0.546,0.0,0.0,0.0,0.286,2.306
112939,0.83,0.0,0.0,0.0,1.0,3.091
113125,5.91,0.0,0.2,0.0769,2.176,3.855
113157,8.699,,0.0,,1.75,4.753
115986,3.872,0.0,0.0,0.0556,2.0,3.74
116066,1.11,,0.4,0.0625,0.5,3.553
130048,5.001,,0.0,,1.353,3.623
136156,0.455,0.0,0.25,0.0,0.0,2.657
136955,1.457,,0.0,0.0667,0.357,3.406
140438,2.377,0.0,0.4,0.0,0.75,2.819
146410,,,1.0,0.0,,
146623,0.091,0.0,0.333,0.0,0.5,2.832
147088,1.596,0.0,0.2,0.0357,0.455,2.709
72951,1.975,,0.0,,1.467,3.662
81150,2.825,,0.0,,1.333,4.54
83257,4.229,,0.0,0.2069,0.286,3.926
84428,3.595,0.0,0.6,0.0,1.0,3.202
86485,1.394,,0.0,0.0,0.0,3.201
86859,3.996,0.0,0.0,0.0,1.684,3.407
87228,3.274,,0.4,,1.083,4.31
87552,4.239,0.2,0.2,0.1154,0.267,2.945
87887,6.198,,0.0,,1.571,3.744
89275,4.323,,0.2,,1.6,4.546
89637,1.182,0.0,0.2,0.0,0.714,2.611
90309,0.231,,0.2,0.0909,0.235,2.99
90917,3.005,,0.0,0.0556,0.692,3.691
91607,1.769,,0.0,0.0,0.938,3.856
92811,4.82,,0.2,0.0357,0.538,3.436
94930,4.423,0.0,0.0,0.0714,1.857,4.778
95620,0.848,,0.0,,0.929,3.087
96870,6.537,,0.2,,1.778,4.75
99228,0.228,0.0,0.0,0.0,0.444,2.533
99789,1.908,,0.0,0.0455,0.615,3.674
100695,6.456,,0.0,0.08,0.889,4.132
101290,3.076,,0.2,0.16,0.733,4.348
101319,2.028,,0.0,,1.077,4.101
104666,2.43,,0.6,0.069,0.2,3.289
110144,4.039,,0.2,0.0455,0.692,3.834
110668,3.069,,0.0,,1.357,4.432
111829,2.188,,0.4,0.0,0.667,3.804
111832,3.858,,0.0,,0.5,3.925
114405,4.232,,0.2,0.0357,1.143,4.085
116447,1.75,0.0,0.0,0.0833,1.421,3.559
121824,4.23,,0.4,0.0,1.25,4.039
123738,1.536,,0.0,0.04,0.938,3.664
126013,0.4,,0.0,,1.0,3.383
127970,1.29,0.0,0.2,0.0,0.667,2.934
132412,7.655,,0.0,,2.222,5.159
141165,0.565,,0.0,0.0,0.0,3.73
141615,0.64,0.0,0.0,0.0,0.0,2.848
142877,2.03,,0.2,0.0303,0.857,3.679
146375,2.696,,0.0,0.0,0.5,3.304
71536,3.65,0.0,0.2,0.0741,1.067,3.372
82775,2.563,,0.0,,1.882,5.087
84674,1.622,0.071,0.6,0.0,0.429,2.375
87470,1.44,0.0,0.2,0.069,0.7,2.971
91866,2.565,,0.0,,1.25,3.435
93716,2.836,,0.2,,1.429,4.502
96342,2.073,0.0,0.0,0.0,0.667,2.829
96652,6.595,0.071,0.0,0.0,1.357,3.089
98484,1.951,,0.0,,0.0,3.163
101708,2.951,,0.0,,0.714,3.87
101729,-0.277,,0.4,0.0,0.0,3.028
103523,5.164,,0.2,,1.444,3.551
105048,9.085,,0.0,0.2692,1.1,4.864
106434,4.738,,0.667,,1.0,3.408
106593,3.236,,0.0,,0.846,3.17
107554,5.596,,0.0,,1.571,4.953
108162,1.139,0.0,0.0,0.05,0.714,2.621
110708,7.992,,0.0,,0.059,4.248
114040,4.902,,0.4,0.0714,0.5,3.725
116065,6.376,,0.0,,2.643,5.643
118655,2.819,,0.0,,1.455,3.487
123101,4.335,,0.0,0.1111,1.2,4.671
123360,3.16,0.0,0.0,0.04,1.077,3.237
123689,4.445,,0.0,,1.5,4.645
124270,1.033,0.0,0.4,0.0,0.714,2.896
125488,5.066,,0.0,,1.333,3.519
128431,5.191,0.286,0.2,0.037,1.143,3.75
131516,4.734,,0.2,,1.3,4.456
141595,7.347,,0.0,0.1,0.857,4.03
141995,3.961,0.0,0.4,0.04,0.333,2.673
147545,1.459,0.0,0.0,0.0,1.0,3.135
147546,1.287,0.0,0.0,0.0,0.5,2.914
148215,-0.447,0.0,0.0,0.0,0.5,2.764
37457,6.281,,0.0,,0.0,
63007,9.927,0.182,0.0,0.2069,0.818,5.736
63008,1.856,,0.0,,1.833,3.728
70592,4.892,0.071,0.0,0.0465,1.214,3.217
72605,12.046,,0.2,,0.556,3.359
78478,5.074,0.0,0.0,0.0345,2.0,3.665
80570,3.176,,0.0,,1.667,4.413
82463,0.756,0.0,0.2,0.0,0.4,2.543
86686,2.903,0.0,0.0,0.0455,1.0,3.053
87258,3.583,,0.0,0.0,0.615,3.652
88963,6.163,,0.0,,0.0,
92440,2.149,,0.0,,0.667,3.363
92747,5.846,,0.2,,0.0,
95362,2.274,,0.2,0.0714,0.133,3.062
98720,5.738,,0.0,,1.111,4.487
99815,11.472,0.158,0.0,0.093,2.368,5.574
100804,4.279,,0.0,,1.2,3.382
102318,4.404,,0.0,,1.125,4.258
102340,2.087,,0.0,,0.438,3.066
103388,3.18,0.0,0.0,0.0,2.125,4.142
104036,5.024,0.25,0.4,0.04,0.375,2.583
104085,3.817,,0.2,,1.167,3.734
104118,4.903,,0.0,,0.0,4.514
105842,1.542,,0.0,,1.0,3.425
111682,4.15,0.0,0.0,0.0,1.636,3.885
111690,5.762,,0.0,,0.0,3.528
118563,5.918,0.0,0.0,0.08,1.25,3.22
122573,0.214,,0.2,0.0,0.0,3.078
122660,5.211,0.0,0.2,0.0556,1.0,3.672
124424,2.117,,0.0,0.0833,0.667,3.987
124661,5.952,,0.0,,1.833,3.766
126189,2.378,0.0,0.0,0.0,1.083,2.661
131617,0.574,,0.2,0.0,0.083,2.593
131967,4.448,,0.2,0.1071,1.0,4.757
140726,-0.307,0.0,0.667,0.0,0.0,2.936
143173,5.031,0.0,0.2,0.0,1.5,3.33
145659,3.102,,0.0,,0.0,4.435
147864,,,1.0,0.0,,
68952,3.423,,0.2,0.0,0.857,3.997
81845,0.973,0.167,0.2,0.0,0.5,2.62
82627,3.996,,0.2,0.0476,1.333,4.45
88293,9.08,,0.2,0.125,0.375,3.596
90608,1.847,,0.4,0.0,0.2,3.203
101002,1.623,,0.0,0.0303,0.333,3.528
101807,1.142,0.143,0.0,0.0,1.286,3.116
105518,0.942,,0.2,0.0,0.167,3.185
108683,3.078,0.0,0.2,0.0,1.889,3.479
109987,3.711,0.0,0.0,0.0303,1.923,4.169
110605,4.522,0.0,0.4,0.0,1.667,3.504
112017,2.28,0.0,0.0,0.0,2.286,3.532
115141,3.876,,0.5,,0.0,3.459
118844,7.517,,0.0,0.08,1.75,5.346
129666,0.969,0.0,0.0,0.0,0.5,2.941
130620,1.906,0.0,0.4,0.0,1.857,3.214
141776,4.514,0.0,0.0,0.0,2.1,3.912
143600,4.038,,0.0,,1.111,4.683
147268,1.806,,0.0,0.0,1.0,3.729
148125,3.605,,0.0,,1.4,4.553
81005,0.611,,0.0,0.0556,0.0,3.055
86410,1.957,,0.2,,0.667,3.961
88393,6.199,,0.0,,0.917,4.277
97520,0.691,0.0,0.0,0.0556,0.846,2.486
97899,6.251,,0.0,,1.857,4.891
97900,2.143,,0.2,,0.25,3.165
140906,3.588,,0.0,0.0,0.5,3.788
143153,4.106,,0.0,0.0952,0.846,4.103
145400,3.47,,0.0,,1.333,4.383
146430,7.414,,0.0,,0.778,3.245
146991,1.838,0.0,0.0,0.0,0.0,3.294
42411,6.895,,0.2,,0.0,
72018,4.494,,0.0,,0.0,4.823
73318,4.992,,0.0,,1.2,4.664
92087,4.422,,0.4,,1.429,3.708
95131,3.344,,0.0,0.1538,0.5,4.423
96353,1.188,,0.0,0.0,0.167,3.152
102877,1.12,,0.6,0.0,0.5,3.446
104204,3.245,,0.2,0.0556,1.0,3.763
127273,5.203,,0.0,,0.0,
146374,4.107,,0.2,,2.2,4.835
69783,1.282,,0.0,,1.0,3.344
85425,0.059,,0.0,,0.0,3.046
89368,0.439,,0.4,0.0,0.182,2.808
90061,5.191,,0.2,,1.615,4.613
93368,3.465,,0.0,,1.636,3.856
101820,3.632,,0.0,,1.0,4.107
107256,5.16,0.0,0.0,0.0476,2.143,4.279
107516,3.076,,0.0,0.0625,0.333,3.806
111683,2.011,,0.0,,0.0,3.527
121823,3.391,,0.0,,0.0,3.992
123016,0.074,0.0,0.2,0.0,0.75,2.696
130209,2.551,,0.0,0.2381,0.667,4.692
130232,4.007,,0.0,,1.333,4.498
141405,3.261,,0.0,,2.0,4.556
141594,5.333,,0.2,,1.1,4.085
142260,0.052,0.0,0.333,0.0,0.5,2.768
147090,4.817,,0.2,,1.2,4.43
148717,-0.965,,0.5,0.0,0.0,3.425
