date,season,home_team,away_team,home_goals,away_goals,avg_odds_home,avg_odds_draw,avg_odds_away
2012-07-15,2012,Palmeiras,Sao Paulo,1,1,2.6,3.16,2.64
2012-07-15,2012,Vasco,Atletico-GO,1,0,1.52,3.92,5.97
2012-07-15,2012,Sport,Portuguesa,2,1,2.06,3.32,3.43
2012-07-15,2012,Internacional,Santos,0,0,1.9,3.34,3.91
2012-07-15,2012,Botafogo,Fluminense,1,1,2.57,3.24,2.61
2012-07-15,2012,Cruzeiro,Gremio,1,3,1.93,3.38,3.75
2012-07-15,2012,Bahia,Flamengo,1,2,2.25,3.26,3.02
2012-07-15,2012,Ponte Preta,Coritiba,4,1,2.32,3.21,2.98
2012-07-18,2012,Gremio,Sport,3,1,1.37,4.41,7.96
2012-07-18,2012,Santos,Botafogo,0,0,2.21,3.28,3.1
2012-07-19,2012,Flamengo,Corinthians,0,3,2.38,3.2,2.89
2012-07-19,2012,Atletico-MG,Internacional,3,1,1.72,3.51,4.64
2012-07-19,2012,Sao Paulo,Vasco,0,1,1.86,3.39,4.04
2012-07-19,2012,Nautico,Ponte Preta,3,0,2.15,3.28,3.2
2012-07-19,2012,Portuguesa,Cruzeiro,0,2,2.44,3.2,2.78
2012-07-20,2012,Atletico-GO,Figueirense,3,2,1.98,3.34,3.63
2012-07-20,2012,Coritiba,Palmeiras,1,1,1.79,3.5,4.21
2012-07-20,2012,Fluminense,Bahia,4,0,1.34,4.57,8.98
2012-07-21,2012,Sport,Atletico-MG,1,4,3.3,3.3,2.09
2012-07-21,2012,Vasco,Santos,2,0,1.69,3.56,4.76
2012-07-22,2012,Bahia,Coritiba,2,2,2.27,3.23,3.0
2012-07-22,2012,Ponte Preta,Fluminense,1,2,3.04,3.27,2.22
2012-07-22,2012,Botafogo,Gremio,0,1,1.98,3.37,3.58
2012-07-22,2012,Palmeiras,Nautico,3,0,1.53,3.8,6.11
2012-07-22,2012,Internacional,Atletico-GO,4,1,1.57,3.7,5.75
2012-07-22,2012,Figueirense,Sao Paulo,0,2,2.4,3.22,2.82
2012-07-22,2012,Cruzeiro,Flamengo,1,0,1.77,3.53,4.27
2012-07-22,2012,Corinthians,Portuguesa,1,1,1.57,3.74,5.7
2012-07-25,2012,Figueirense,Internacional,0,1,2.51,3.21,2.67
2012-07-25,2012,Ponte Preta,Sport,1,1,1.71,3.61,4.56
2012-07-26,2012,Gremio,Fluminense,1,0,1.79,3.45,4.26
2012-07-26,2012,Atletico-GO,Sao Paulo,4,3,2.68,3.2,2.5
2012-07-26,2012,Corinthians,Cruzeiro,2,0,1.92,3.28,3.83
2012-07-26,2012,Nautico,Coritiba,3,4,2.14,3.32,3.19
2012-07-26,2012,Vasco,Botafogo,1,0,2.29,3.3,2.92
2012-07-27,2012,Atletico-MG,Santos,2,0,1.49,3.9,6.58
2012-07-27,2012,Flamengo,Portuguesa,0,0,1.73,3.52,4.6
2012-07-27,2012,Palmeiras,Bahia,0,2,1.48,3.92,6.67
2012-07-28,2012,Coritiba,Gremio,2,1,2.34,3.25,2.88
2012-07-28,2012,Internacional,Vasco,0,0,2.02,3.28,3.51
2012-07-29,2012,Portuguesa,Nautico,3,1,1.68,3.66,4.75
2012-07-29,2012,Santos,Ponte Preta,2,1,1.92,3.31,3.85
2012-07-29,2012,Cruzeiro,Palmeiras,2,1,1.9,3.32,3.93
2012-07-29,2012,Sport,Atletico-GO,0,0,1.98,3.32,3.65
2012-07-29,2012,Fluminense,Atletico-MG,0,0,2.18,3.26,3.16
2012-07-29,2012,Bahia,Corinthians,0,0,2.95,3.18,2.33
2012-07-29,2012,Botafogo,Figueirense,1,0,1.52,3.9,5.98
2012-07-29,2012,Sao Paulo,Flamengo,4,1,1.69,3.6,4.76
2012-08-04,2012,Atletico-GO,Botafogo,1,2,2.76,3.25,2.43
2012-08-04,2012,Palmeiras,Internacional,0,1,2.26,3.21,3.06
2012-08-05,2012,Gremio,Bahia,3,1,1.33,4.53,9.43
2012-08-05,2012,Portuguesa,Figueirense,2,0,1.8,3.47,4.25
2012-08-05,2012,Coritiba,Fluminense,0,2,2.51,3.27,2.65
2012-08-05,2012,Sao Paulo,Sport,1,0,1.39,4.29,7.79
2012-08-05,2012,Vasco,Corinthians,0,0,2.06,3.24,3.48
2012-08-05,2012,Cruzeiro,Ponte Preta,1,2,1.61,3.72,5.28
2012-08-05,2012,Nautico,Santos,3,0,2.11,3.23,3.34
2012-08-08,2012,Internacional,Nautico,0,0,1.39,4.34,7.83
2012-08-08,2012,Sport,Vasco,0,2,3.02,3.18,2.29
2012-08-09,2012,Santos,Cruzeiro,4,2,2.3,3.2,2.99
2012-08-09,2012,Figueirense,Flamengo,0,2,2.28,3.24,2.99
2012-08-09,2012,Botafogo,Palmeiras,1,2,1.81,3.37,4.29
2012-08-09,2012,Corinthians,Atletico-GO,1,1,1.47,3.9,6.89
2012-08-09,2012,Bahia,Portuguesa,0,0,2.43,3.12,2.85
2012-08-10,2012,Atletico-MG,Coritiba,1,0,1.36,4.48,7.97
2012-08-10,2012,Fluminense,Sao Paulo,2,1,2.07,3.19,3.48
2012-08-10,2012,Ponte Preta,Gremio,0,0,2.73,3.27,2.43
2012-08-11,2012,Bahia,Cruzeiro,0,1,2.79,3.12,2.48
2012-08-11,2012,Santos,Atletico-GO,2,2,1.82,3.36,4.18
2012-08-11,2012,Sport,Figueirense,0,1,1.66,3.52,5.04
2012-08-12,2012,Portuguesa,Botafogo,1,1,2.49,3.18,2.73
2012-08-12,2012,Fluminense,Palmeiras,1,0,1.73,3.44,4.68
2012-08-12,2012,Sao Paulo,Gremio,1,2,2.11,3.27,3.33
2012-08-12,2012,Flamengo,Nautico,2,0,1.81,3.4,4.21
2012-08-12,2012,Coritiba,Corinthians,1,2,2.53,3.18,2.67
2012-08-12,2012,Atletico-MG,Vasco,1,0,1.8,3.38,4.33
2012-08-12,2012,Internacional,Ponte Preta,2,1,1.53,3.8,6.1
2012-08-15,2012,Gremio,Portuguesa,1,2,1.54,3.73,6.15
2012-08-15,2012,Cruzeiro,Fluminense,1,1,2.43,3.17,2.79
2012-08-16,2012,Botafogo,Sport,2,0,1.41,4.19,7.39
2012-08-16,2012,Nautico,Sao Paulo,3,0,2.41,3.24,2.77
2012-08-16,2012,Atletico-GO,Atletico-MG,1,1,3.62,3.3,1.98
2012-08-16,2012,Ponte Preta,Bahia,0,2,1.62,3.63,5.21
2012-08-16,2012,Palmeiras,Flamengo,1,0,1.82,3.43,4.17
2012-08-17,2012,Figueirense,Santos,1,3,2.58,3.2,2.59
2012-08-17,2012,Corinthians,Internacional,1,0,2.03,3.19,3.62
2012-08-17,2012,Vasco,Coritiba,2,2,1.61,3.68,5.32
2012-08-18,2012,Nautico,Bahia,1,0,1.88,3.38,3.95
2012-08-18,2012,Fluminense,Sport,1,0,1.46,4.07,6.8
2012-08-19,2012,Sao Paulo,Ponte Preta,3,0,1.59,3.77,5.34
2012-08-19,2012,Atletico-MG,Botafogo,3,2,1.75,3.46,4.45
2012-08-19,2012,Coritiba,Cruzeiro,4,0,1.88,3.45,3.83
2012-08-19,2012,Gremio,Figueirense,4,0,1.4,4.26,7.5
2012-08-19,2012,Santos,Corinthians,3,2,2.21,3.2,3.14
2012-08-19,2012,Atletico-GO,Palmeiras,2,1,2.5,3.23,2.67
2012-08-19,2012,Flamengo,Vasco,1,0,2.76,3.1,2.5
2012-08-19,2012,Portuguesa,Internacional,1,1,3.11,3.17,2.44
2012-08-25,2012,Vasco,Fluminense,1,2,3.0,3.17,2.32
