name,team,apps,xG,xg90,goal,shots
Alesson,Mirassol,18,2.7,0.198,0,29
Breno Bidon,Corinthians,18,1.54,0.107,2,14
Cacá,Vitoria,15,0.79,0.055,1,6
Paulo Henrique,Vasco da Gama,12,0.18,0.021,0,4
Luiz Gustavo,Athletico Paranaense,15,2.9,0.221,2,19
Ferreira,Sao Paulo,15,1.7,0.272,4,20
Vitor Bueno,Remo,13,1.93,0.214,2,14
Fernando,Red Bull Bragantino,10,1.93,0.495,2,13
Cristian Olivera,Bahia,16,2.05,0.192,1,22
Igor Vinícius,Santos FC,15,0.14,0.01,0,4
Gustavinho,Red Bull Bragantino,13,0.84,0.124,1,9
Denilson,Mirassol,12,0.24,0.032,1,5
Natanael,Atletico MG,13,0.32,0.027,0,8
Erick Noriega,Gremio,14,0.78,0.069,1,7
Agustín Giay,Palmeiras,16,0.23,0.02,0,5
Everaldo,Bahia,15,2.54,0.361,4,19
Júnior Alonso,Atletico MG,10,0.21,0.021,0,5
Gabriel Barbosa,Santos FC,13,4.92,0.493,7,30
Luiz Araújo,Flamengo,11,1.12,0.279,1,9
Pedro Rocha,Coritiba,19,5.38,0.321,4,37
Erick,Bahia,16,2.37,0.209,2,14
Camilo,Chapecoense AF,17,0.34,0.021,0,14
Juan Pablo Freytes,Fluminense,17,0.8,0.048,0,14
Rodrigo Nestor,Bahia,13,1.6,0.229,1,23
Alex Telles,Botafogo RJ,18,1.83,0.116,2,9
Walter Clar,Chapecoense AF,10,2.53,0.297,3,10
Ignácio,Fluminense,9,0.54,0.082,1,8
Hulk,Atletico MG,12,2.34,0.231,1,25
Damián Bobadilla,Sao Paulo,15,0.82,0.065,0,14
Kaio Jorge,Cruzeiro,14,6.08,0.501,5,33
Arthur Dias,Athletico Paranaense,18,0.19,0.011,0,5
Alan Minda,Atletico MG,10,1.87,0.455,2,11
José Hurtado,Red Bull Bragantino,14,0.65,0.057,1,15
Lucas Veríssimo,Santos FC,13,1.68,0.129,0,8
Viery,Gremio,13,0.5,0.038,1,6
Jean Lucas,Bahia,17,1.38,0.096,2,19
Santiago Ramos Mingo,Bahia,18,0.39,0.022,0,8
Mauricio,Palmeiras,17,3.5,0.286,3,28
Keny Arroyo,Cruzeiro,16,1.29,0.127,2,28
Marcelinho,Remo,17,1.24,0.081,2,18
Vitinho,Internacional,19,2.22,0.145,0,31
Miguel Terceros,Santos FC,9,1.12,0.217,1,11
Arthur,Palmeiras,14,0.28,0.031,0,8
Gabriel Mercado,Internacional,12,0.79,0.069,1,6
José Aldo,Mirassol,17,0.49,0.037,0,14
Alex Sandro,Flamengo,15,0.07,0.006,0,2
Samuel Xavier,Fluminense,12,0.2,0.019,0,5
Pedro Gabriel,Gremio,11,0.12,0.014,0,5
Pedro Henrique,Red Bull Bragantino,13,0.86,0.089,0,3
Danielzinho,Sao Paulo,18,0.96,0.063,1,9
Bruno Pacheco,Chapecoense AF,12,0.1,0.01,0,3
William,Cruzeiro,10,0.08,0.013,0,4
Bernard,Atletico MG,17,1.47,0.147,1,9
Victor Gabriel,Internacional,16,0.26,0.02,0,5
Gabriel Bontempo,Santos FC,18,1.55,0.118,0,12
Hércules,Fluminense,18,1.81,0.148,3,26
Jamerson,Vitoria,9,0.15,0.025,0,4
Bruno Melo,Coritiba,18,0.59,0.037,1,6
Mayk,Remo,12,0.05,0.004,0,3
Leonel Pérez,Gremio,11,0.39,0.049,0,7
