team,attack,defense
America-MG,0.01375463100603701,-0.14277030746103653
Atletico-GO,-0.22962690731788996,-0.029669016956997078
Atletico-MG,0.165436595627399,0.18942409868634427
Atletico-PR,0.180023895315475,0.23460398437607757
Avai,-0.2720378371744884,-0.1491299531139714
Bahia,0.21201230682811179,0.0870114468747064
Botafogo,0.3137119592598847,0.15732695094352517
Bragantino,0.1124532838893637,0.10084109757794164
CSA,-0.49189090442783473,-0.09583735150178929
Ceara,-0.17391549369454193,0.26058603150532056
Chapecoense,-0.07971541688965761,-0.3262779364998171
Corinthians,0.07601407111319562,0.21078456857723804
Coritiba,0.11430454696103816,-0.05343873250339453
Criciuma,0.015682513057141727,-0.1580937329014952
Cruzeiro,0.16934403654925997,0.26582881930802027
Cuiaba,-0.2330164394898297,0.20062957293956826
Figueirense,-0.24771304097941294,0.0128902497650488
Flamengo,0.5354104794741026,0.3957668869067145
Fluminense,0.19675243542092033,0.2214854549209852
Fortaleza,0.12961148616349932,0.06939550081614987
Goias,-0.05831711264422241,-0.03603333763320249
Gremio,0.14371580890066757,0.045842399841769924
Internacional,0.11019615896895787,0.13138895816514873
Joinville,-0.3998654196415238,0.02871754163729774
Juventude,-0.03693425454677917,-0.1973399999907849
Mirassol,0.2350558754249692,0.09553024299723303
Nautico,-0.2493254196408594,-0.22085941167710957
Palmeiras,0.4457311144454072,0.4521029215699249
Parana,-0.769046929932105,-0.0873811779615664
Ponte Preta,-0.0671044404834075,0.025581995578716942
Portuguesa,0.025607354254310783,0.11988848798893412
Remo,0.12427402825978738,-0.16592236311782002
Santa Cruz,0.046474888010247004,-0.29128859514894606
Santos,0.13528229482552187,0.009535170546743686
Sao Paulo,0.10006340246238961,0.18176912420274344
Sport,-0.34436036031640693,-0.28646422521260784
Vasco,0.12946379313837614,-0.0913901245371242
Vitoria,-0.07750698217710411,0.023069235989741994
