rodada,name,team,apps,mins,xG,xg90,goal,shots
22,Pedro,Flamengo,22,1781,11.685,0.5905,14,48.0
22,Cuiabano,Vasco da Gama,14,1022,1.859,0.1637,1,23.0
22,José Manuel López,Palmeiras,20,1480,3.747,0.2278,6,38.0
22,Cristian Pavón,Gremio,20,1539,0.461,0.027,1,12.0
22,Neymar,Santos FC,10,866,4.569,0.4748,6,35.0
22,Lucas Esquivel,Athletico Paranaense,16,1301,0.397,0.0274,1,13.0
22,Igor Formiga,Mirassol,19,1482,2.344,0.1424,4,18.0
22,Juninho Capixaba,Red Bull Bragantino,19,1699,1.047,0.0555,3,23.0
22,Lucas Barbosa,Red Bull Bragantino,20,1771,4.966,0.2523,4,50.0
22,David Duarte,Bahia,16,1437,1.544,0.0967,3,16.0
22,Danilo Santos,Botafogo RJ,16,1326,2.366,0.1606,7,31.0
22,Henry Mosquera,Red Bull Bragantino,17,1165,2.489,0.1923,0,35.0
22,Jhon Arias,Palmeiras,18,1423,3.178,0.201,4,38.0
22,Gonzalo Plata,Flamengo,13,673,3.044,0.407,2,25.0
22,Allan,Palmeiras,20,1482,2.747,0.1668,4,35.0
22,Matheus Pereira,Cruzeiro,20,1684,4.7,0.2512,5,49.0
22,Lucas Paquetá,Flamengo,14,919,2.246,0.2199,3,30.0
22,Luciano Juba,Bahia,20,1520,3.25,0.1924,7,22.0
22,Kaio César,Corinthians,11,650,1.562,0.2163,2,15.0
22,Jonathan Jesus,Cruzeiro,15,1249,0.688,0.0495,0,10.0
22,José Rodríguez,Vasco da Gama,15,1064,2.928,0.2476,2,29.0
22,Samuel Lino,Flamengo,22,1383,3.575,0.2326,6,42.0
22,Andreas Pereira,Palmeiras,22,1765,1.927,0.0983,1,29.0
22,John Kennedy,Fluminense,18,1129,6.997,0.5578,9,38.0
22,Sabino,Sao Paulo,16,1261,0.348,0.0249,1,7.0
22,Kevin Viveros,Athletico Paranaense,22,1963,16.085,0.7375,14,62.0
22,Léo Pereira,Flamengo,19,1627,1.579,0.0874,2,18.0
22,Alexander Barboza,Botafogo RJ,12,1044,0.756,0.0651,1,12.0
22,Willian Machado,Mirassol,17,1485,0.687,0.0417,1,10.0
22,Lucho Acosta,Fluminense,19,1170,2.784,0.2141,3,26.0
22,Nicolás Acevedo,Bahia,21,1842,1.697,0.0829,1,24.0
22,Gustavo Gómez,Palmeiras,20,1746,2.363,0.1218,4,17.0
22,Tomás Cuello,Atletico MG,20,1415,4.798,0.3052,4,44.0
22,Alexandro Bernabéi,Internacional,19,1646,2.709,0.1481,4,46.0
22,Giorgian de Arrascaeta,Flamengo,15,971,5.299,0.4912,3,31.0
22,Andrés Gómez,Vasco da Gama,19,1534,3.855,0.2262,4,70.0
22,Joaquín Piquerez,Palmeiras,11,856,0.25,0.0263,0,7.0
22,Matheuzinho,Corinthians,19,1612,0.845,0.0472,1,13.0
22,Guillermo Varela,Flamengo,17,1339,0.444,0.0298,0,5.0
22,Gustavo Henrique,Corinthians,19,1710,1.235,0.065,1,17.0
22,Arthur Cabral,Botafogo RJ,19,1560,5.013,0.2892,7,44.0
22,Kaiki,Cruzeiro,16,1418,1.035,0.0657,0,18.0
22,Jorge Carrascal,Flamengo,16,856,3.34,0.3512,3,25.0
22,Emerson Royal,Flamengo,11,701,0.337,0.0432,0,3.0
22,Rodrigo Garro,Corinthians,22,1513,2.588,0.154,3,35.0
22,Jefferson Savarino,Fluminense,18,1123,3.413,0.2735,3,39.0
22,Juan Aguirre,Athletico Paranaense,19,1516,0.797,0.0473,1,9.0
22,Agustín Canobbio,Fluminense,16,1188,3.885,0.2943,4,28.0
22,Murilo,Palmeiras,20,1757,2.063,0.1057,1,14.0
22,Lucas Ronier,Coritiba,18,1412,2.135,0.1361,1,37.0
22,Tinga,Coritiba,16,1230,0.189,0.0138,0,7.0
22,Nahuel Ferraresi,Botafogo RJ,16,1279,0.729,0.0513,1,4.0
22,Renê,Fluminense,16,1268,0.652,0.0463,0,9.0
22,Matheus Bidu,Corinthians,18,1554,0.637,0.0369,2,17.0
22,Tiago Volpi,Red Bull Bragantino,15,1350,1.546,0.1031,2,2.0
22,Léo Ortiz,Flamengo,18,1443,0.259,0.0162,1,5.0
22,Marlon Freitas,Palmeiras,22,1893,0.73,0.0347,2,15.0
22,Gonzalo Escobar,Santos FC,16,1408,0.494,0.0316,0,9.0
22,Robert Arboleda,Sao Paulo,10,677,0.153,0.0204,0,4.0
22,Éverton Ribeiro,Bahia,17,1034,1.701,0.148,0,17.0
22,Erick Pulgar,Flamengo,13,1021,0.375,0.0331,2,10.0
22,Gabriel Paulista,Corinthians,18,1584,0.88,0.05,1,17.0
22,Thiago Mendes,Vasco da Gama,19,1603,2.236,0.1255,4,17.0
22,Victor Hugo,Atletico MG,19,1465,2.541,0.1561,4,22.0
22,Christian,Cruzeiro,17,1258,2.271,0.1625,5,21.0
22,Artur,Sao Paulo,13,1065,2.123,0.1794,2,25.0
22,Gustavo Marques,Red Bull Bragantino,19,1564,1.991,0.1146,0,13.0
22,Zé Vitor,Vitoria,15,1006,0.464,0.0415,1,15.0
22,Jacy,Coritiba,20,1512,0.821,0.0489,1,14.0
22,Raniele,Corinthians,19,1464,1.602,0.0985,1,15.0
