rodada,name,team,apps,mins,xG,xg90,goal,shots
26,João Marcelo,Cruzeiro,11,775,0.684,0.0794,1,4.0
26,Breno Lopes,Coritiba,23,1620,5.512,0.3062,8,25.0
26,Pedro Henrique,Red Bull Bragantino,17,1229,1.458,0.1067,1,7.0
26,Alan Patrick,Internacional,21,1451,2.667,0.1654,4,26.0
26,Jorginho,Flamengo,20,1530,1.781,0.1048,2,10.0
26,Nathan Mendes,Vitoria,13,1064,0.141,0.0119,0,2.0
26,Giovanni Augusto,Chapecoense AF,18,1006,0.557,0.0498,1,14.0
26,Erick,Bahia,20,1241,4.204,0.3049,4,19.0
26,Josué,Coritiba,23,1676,1.577,0.0847,1,22.0
26,Lucas Ramon,Sao Paulo,19,1504,0.377,0.0226,0,11.0
26,Ramón Sosa,Palmeiras,19,961,1.393,0.1304,4,22.0
26,Erick,Vitoria,24,1688,2.021,0.1078,3,30.0
26,Anderson,Chapecoense AF,11,990,0.056,0.0051,0,1.0
26,William,Cruzeiro,12,736,0.181,0.0222,0,6.0
26,Gerson,Cruzeiro,23,1648,1.137,0.0621,0,20.0
26,Cristian Olivera,Bahia,19,1197,2.52,0.1895,1,28.0
26,João Victor,Mirassol,26,2340,2.731,0.105,2,14.0
26,Jonathan Calleri,Sao Paulo,23,1732,9.37,0.4869,7,45.0
26,Paulo Henrique,Vasco da Gama,17,1214,0.309,0.0229,0,7.0
26,Fernando,Red Bull Bragantino,12,485,3.093,0.574,3,18.0
26,Ramon,Vitoria,20,1708,0.658,0.0347,2,12.0
26,Fabrício Bruno,Cruzeiro,22,1943,0.585,0.0271,0,14.0
26,Igor Vinícius,Santos FC,19,1656,0.145,0.0079,0,4.0
26,Mauricio,Palmeiras,23,1462,5.583,0.3437,7,42.0
26,Johan Carbonero,Internacional,25,1737,6.533,0.3385,6,58.0
26,Matheus Martins,Botafogo RJ,21,1136,3.468,0.2748,4,39.0
26,Luiz Araújo,Flamengo,14,487,1.604,0.2964,2,12.0
26,Nonato,Fluminense,13,803,0.981,0.11,1,4.0
26,Kaio Jorge,Cruzeiro,19,1426,7.9,0.4986,7,38.0
26,Erick Pulga,Bahia,25,1829,2.777,0.1366,2,34.0
26,Jemmes,Fluminense,18,1354,0.273,0.0182,0,4.0
26,Gabriel Barbosa,Santos FC,18,1289,7.935,0.554,10,45.0
26,Steven Mendoza,Athletico Paranaense,26,2140,2.379,0.1001,5,33.0
26,Yuri Alberto,Corinthians,17,1424,4.805,0.3037,3,36.0
26,Renê,Vitoria,19,1274,5.81,0.4104,6,46.0
26,Vitinho,Internacional,25,1905,3.594,0.1698,2,42.0
26,Alex Telles,Botafogo RJ,22,1699,2.121,0.1124,3,17.0
26,Luiz Gustavo,Athletico Paranaense,20,1560,3.036,0.1751,2,22.0
26,Erick Noriega,Gremio,18,1358,0.857,0.0568,1,10.0
26,Jamerson,Vitoria,14,865,0.219,0.0228,0,6.0
26,Santiago Ramos Mingo,Bahia,24,2116,0.588,0.025,0,10.0
26,Álvaro Montoro,Botafogo RJ,22,1476,1.402,0.0855,0,23.0
26,Alesson,Mirassol,23,1543,2.806,0.1637,0,32.0
26,Camilo,Chapecoense AF,21,1775,0.443,0.0224,0,16.0
26,Vitor Bueno,Remo,19,976,2.197,0.2025,3,20.0
26,Agustín Giay,Palmeiras,21,1422,0.321,0.0203,0,8.0
26,Keny Arroyo,Cruzeiro,21,1222,1.918,0.1412,3,45.0
26,João Cruz,Athletico Paranaense,20,854,1.533,0.1615,2,25.0
26,Vitor Roque,Palmeiras,14,567,4.125,0.6548,4,23.0
26,Lucas Veríssimo,Santos FC,14,1260,1.677,0.1198,0,8.0
26,Jean Lucas,Bahia,22,1533,2.21,0.1298,3,24.0
26,Reinier,Atletico MG,18,828,3.582,0.3894,3,22.0
26,Cauan Barros,Vasco da Gama,19,1304,1.889,0.1304,3,19.0
26,Gabriel Mercado,Internacional,16,1387,1.434,0.0931,1,8.0
26,Hulk,Atletico MG,12,912,2.343,0.2312,1,25.0
26,José Hurtado,Red Bull Bragantino,16,1211,0.655,0.0486,1,15.0
26,Leozinho,Athletico Paranaense,13,609,3.697,0.5463,4,25.0
26,Arthur Dias,Athletico Paranaense,24,2036,0.233,0.0103,0,6.0
26,Alan Minda,Atletico MG,15,622,2.861,0.414,2,16.0
26,Viery,Gremio,13,1169,0.497,0.0382,1,6.0
26,Bruno Pacheco,Chapecoense AF,16,1101,0.415,0.034,1,5.0
26,Luan Cândido,Vitoria,18,1445,1.067,0.0665,0,9.0
26,Cacá,Vitoria,19,1613,0.918,0.0512,1,9.0
26,Willian Arão,Santos FC,20,1228,0.454,0.0333,1,4.0
26,Adson,Vasco da Gama,14,763,1.513,0.1785,0,22.0
26,Bernard,Atletico MG,21,1108,2.41,0.1958,2,13.0
