rodada,name,team,apps,mins,xG,xg90,goal,shots
21,Pedro,Flamengo,20,1617,9.88,0.5499,12,43.0
21,Cuiabano,Vasco da Gama,13,932,1.783,0.1722,1,21.0
21,Igor Formiga,Mirassol,17,1382,2.344,0.1527,4,18.0
21,José Manuel López,Palmeiras,18,1358,3.65,0.2419,6,35.0
21,Juninho Capixaba,Red Bull Bragantino,17,1519,1.047,0.062,3,23.0
21,Henry Mosquera,Red Bull Bragantino,16,1119,2.48,0.1995,0,34.0
21,Neymar,Santos FC,9,776,4.309,0.4998,6,30.0
21,Jhon Arias,Palmeiras,16,1260,2.932,0.2094,4,34.0
21,Lucas Esquivel,Athletico Paranaense,16,1301,0.397,0.0274,1,13.0
21,Matheus Pereira,Cruzeiro,18,1585,4.692,0.2664,5,48.0
21,Cristian Pavón,Gremio,18,1403,0.399,0.0256,0,10.0
21,Luciano Juba,Bahia,18,1407,3.249,0.2079,7,22.0
21,Danilo Santos,Botafogo RJ,14,1164,2.284,0.1766,7,28.0
21,Lucas Barbosa,Red Bull Bragantino,18,1591,4.922,0.2785,4,48.0
21,Negueba,Mirassol,9,782,0.936,0.1077,2,19.0
21,David Duarte,Bahia,14,1257,1.435,0.1028,3,14.0
21,Gonzalo Plata,Flamengo,11,594,2.78,0.4212,2,22.0
21,Lucho Acosta,Fluminense,17,1138,2.74,0.2167,3,25.0
21,José Rodríguez,Vasco da Gama,14,1040,2.555,0.2211,2,27.0
21,Allan,Palmeiras,18,1315,2.43,0.1663,4,28.0
21,Samuel Lino,Flamengo,20,1282,2.919,0.2049,5,36.0
21,Andrés Gómez,Vasco da Gama,18,1444,3.667,0.2286,4,66.0
21,Kaio César,Corinthians,9,503,1.36,0.2433,2,10.0
21,Willian Machado,Mirassol,16,1395,0.654,0.0422,1,9.0
21,Jonathan Jesus,Cruzeiro,13,1069,0.63,0.0531,0,9.0
21,Arthur Cabral,Botafogo RJ,17,1380,4.356,0.2841,7,36.0
21,Andreas Pereira,Palmeiras,20,1602,1.64,0.0921,1,24.0
