atleta_id,name,pos,team,price,media,status,desvio,ult5
69012,Santos,GOL,CAP,9.22,4.25,Provável,3.73,6.14
63007,Neymar,MEI,SAN,21.85,10.02,Provável,6.7,10.0
103056,Gabriel Brazão,GOL,SAN,5.11,2.38,Provável,3.79,5.840000000000001
130121,João Costa,ATA,CRU,4.4,-0.3,Provável,0.0,-0.3
72294,Everson,GOL,CAM,8.86,4.31,Provável,4.83,5.24
68685,Alan Patrick,MEI,INT,7.28,3.86,Provável,4.03,4.62
100898,Vitinho,LAT,BOT,9.8,5.2,Provável,2.4,5.76
87008,Léo Jardim,GOL,VAS,6.97,2.95,Provável,2.34,4.800000000000001
97810,Erick,ATA,VIT,7.98,4.29,Provável,4.58,5.74
37656,Fábio,GOL,FLU,10.21,4.67,Provável,2.91,5.14
101727,Matheuzinho,LAT,COR,12.62,6.44,Provável,4.03,8.36
90768,Fabrício Bruno,ZAG,CRU,6.89,2.29,Provável,2.48,3.22
99274,Alexander Barboza,ZAG,PAL,10.94,5.1,Provável,3.37,3.8600000000000003
61987,Alex Sandro,LAT,FLA,8.2,3.53,Nulo,3.17,2.7
104758,Enzo Díaz,LAT,SAO,9.04,3.9,Nulo,3.87,2.88
80196,Yago Pikachu,MEI,REM,4.77,2.15,Provável,2.71,2.96
96591,Renan Lodi,LAT,CAM,9.52,4.84,Provável,3.69,6.0200000000000005
105949,Rochet,GOL,INT,6.28,3.33,Contundido,2.45,4.5600000000000005
91101,Ronaldo,GOL,BAH,8.81,5.68,Provável,4.82,5.340000000000001
123717,Zé Guilherme,LAT,BAH,4.74,2.9,Nulo,1.98,2.6
80313,Gilberto,LAT,CAP,7.91,4.65,Provável,2.82,6.36
85425,João Paulo,GOL,SAN,5.2,0.15,Nulo,0.0,1.7
42234,Cássio,GOL,CRU,6.89,1.32,Contundido,4.46,3.766666666666667
117632,Garro,MEI,COR,11.13,5.04,Provável,4.47,4.779999999999999
101314,Ademir,ATA,BAH,5.59,2.35,Suspenso,3.0,5.08
98517,Jean Lucas,MEI,BAH,9.37,5.12,Provável,3.36,3.9199999999999995
91772,David Duarte,ZAG,BAH,7.03,4.38,Provável,3.74,5.6
68996,Willian José,ATA,BAH,7.29,2.45,Nulo,3.17,2.8
105990,Santiago Mingo,ZAG,BAH,4.87,2.22,Provável,2.65,3.1399999999999997
106822,Rodrigo Nestor,MEI,BAH,6.1,3.42,Provável,4.69,6.840000000000001
105436,Carrascal,MEI,FLA,11.45,4.93,Nulo,4.76,6.779999999999999
109401,Erick Pulga,ATA,BAH,7.23,3.65,Provável,2.26,2.74
97868,Iago,LAT,SAO,4.5,2.2,Nulo,0.21,4.85
113397,Cristian Olivera,ATA,BAH,7.16,4.1,Nulo,3.23,1.3800000000000001
106323,Caio Alexandre,MEI,BAH,4.01,1.22,Nulo,1.4,2.34
104783,Acevedo,MEI,BAH,7.02,4.39,Provável,2.4,4.319999999999999
98484,Kanu,ZAG,BAH,3.68,0.83,Nulo,2.05,1.95
107173,Michel Araújo,MEI,BAH,2.83,0.96,Nulo,1.01,1.64
72493,Alex Telles,LAT,BOT,10.27,4.5,Provável,3.68,4.779999999999999
97341,Rogério Ceni,TEC,BAH,10.61,5.46,Provável,1.86,5.0200000000000005
97468,Marçal,LAT,BOT,5.85,2.62,Suspenso,1.73,6.0
111829,Kayky,ATA,INT,3.63,1.27,Contundido,1.15,2.5333333333333337
123360,Cauly,MEI,SAO,6.08,2.79,Nulo,2.34,3.04
129663,Ruan Pablo,ATA,BAH,1.81,0.0,Nulo,0.0,0.0
136955,Sanabria,ATA,BAH,6.01,2.93,Nulo,2.83,3.7
107231,Danilo,MEI,BOT,15.0,8.37,Provável,6.48,7.68
145379,Kauê Furquim,ATA,BAH,2.0,0.93,Provável,0.71,1.0
124481,Mateo Ponte,LAT,BOT,5.53,2.8,Nulo,2.04,3.5
98672,Savarino,MEI,FLU,9.02,4.67,Provável,4.27,4.54
